,iid_pid,iid,id,round,order,partner,pid,int_corr,age_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,age,imprace,imprelig,income,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,gender,idg,condtn,wave,position,positin1,match,samerace,race_o,dec_o,field,race,from,zipcode,goal,date,go_out,career
0,6804.0,453.0,14.0,11.0,1.0,10.0,439.0,48.0,29.0,20.0,10.0,50.0,5.0,10.0,5.0,3.0,10.0,10.0,3.0,10.0,0.0,27.0,4.0,3.0,53679.41903193619,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,0.0,30.0,30.0,30.0,5.0,0.0,5.0,1,24,2,17,2,14.0,0,0,2.0,0,law,4.0,"Shanghai, China","210,009",2.0,6.0,5.0,lawyer
1,6803.0,453.0,14.0,11.0,10.0,9.0,438.0,31.0,23.0,14.0,15.0,16.0,17.0,18.0,20.0,3.0,9.0,10.0,3.0,10.0,2.0,27.0,4.0,3.0,55080.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,0.0,30.0,30.0,30.0,5.0,0.0,5.0,1,24,2,17,13,14.0,0,0,2.0,0,law,4.0,"Shanghai, China","210,009",2.0,6.0,5.0,lawyer
2,6802.0,453.0,14.0,11.0,9.0,8.0,437.0,4.0,23.0,15.0,15.0,18.0,18.0,14.0,20.0,6.0,8.0,10.0,6.0,9.0,5.0,27.0,4.0,3.0,55080.00000000001,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,0.0,30.0,30.0,30.0,5.0,0.0,5.0,1,24,2,17,12,14.0,0,0,2.0,0,law,4.0,"Shanghai, China","210,009",2.0,6.0,5.0,lawyer
3,6801.0,453.0,14.0,11.0,4.0,7.0,436.0,59.0,23.0,28.0,8.0,17.0,22.0,17.0,8.0,7.0,10.0,8.0,8.0,8.0,7.0,27.0,4.0,3.0,55080.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,0.0,30.0,30.0,30.0,5.0,0.0,5.0,1,24,2,17,6,14.0,0,0,2.0,0,law,4.0,"Shanghai, China","210,009",2.0,6.0,5.0,lawyer
4,6800.0,453.0,14.0,11.0,5.0,6.0,435.0,-17.0,22.0,25.0,5.0,20.0,25.0,15.0,10.0,2.0,8.960477823079414,8.440716734619121,7.401194557698533,6.44071673461912,6.480238911539708,27.0,4.0,3.0,55080.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,0.0,30.0,30.0,30.0,5.0,0.0,5.0,1,24,2,17,7,14.0,0,0,1.0,0,law,4.0,"Shanghai, China","210,009",2.0,6.0,5.0,lawyer
5,6799.0,453.0,14.0,11.0,3.0,5.0,434.0,-22.0,27.0,30.0,15.0,15.0,30.0,0.0,10.0,4.0,8.0,7.0,5.0,5.0,6.0,27.0,4.0,3.0,55080.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,0.0,30.0,30.0,30.0,5.0,0.0,5.0,1,24,2,17,4,14.0,0,0,2.0,0,law,4.0,"Shanghai, China","210,009",2.0,6.0,5.0,lawyer
6,6798.0,453.0,14.0,11.0,2.0,4.0,433.0,32.0,30.0,20.0,20.0,20.0,20.0,10.0,10.0,2.0,7.0,7.0,2.0,7.0,1.0,27.0,4.0,3.0,55080.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,0.0,30.0,30.0,30.0,5.0,0.0,5.0,1,24,2,17,3,14.0,0,0,6.0,0,law,4.0,"Shanghai, China","210,009",2.0,6.0,5.0,lawyer
7,6797.0,453.0,14.0,11.0,8.0,3.0,432.0,27.0,28.0,15.0,30.0,30.0,10.0,10.0,5.0,3.0,9.0,10.0,5.0,10.0,10.0,27.0,4.0,3.0,55080.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,0.0,30.0,30.0,30.0,5.0,0.0,5.0,1,24,2,17,11,14.0,1,0,2.0,1,law,4.0,"Shanghai, China","210,009",2.0,6.0,5.0,lawyer
8,6796.0,453.0,14.0,11.0,7.0,2.0,431.0,19.0,27.0,15.0,15.0,25.0,15.0,15.0,15.0,3.0,8.0,7.0,4.0,4.0,1.0,27.0,4.0,3.0,55080.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,0.0,30.0,30.0,30.0,5.0,0.0,5.0,1,24,2,17,9,14.0,0,1,4.0,0,law,4.0,"Shanghai, China","210,009",2.0,6.0,5.0,lawyer
9,6795.0,453.0,14.0,11.0,6.0,1.0,430.0,0.0,22.0,10.0,25.0,15.0,20.0,15.0,15.0,4.0,8.0,9.0,8.0,9.0,2.0,27.0,4.0,3.0,55080.0,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,0.0,30.0,30.0,30.0,5.0,0.0,5.0,1,24,2,17,8,14.0,0,1,4.0,0,law,4.0,"Shanghai, China","210,009",2.0,6.0,5.0,lawyer
