,iid_pid,gender,condtn,samerace,race_o,field_cd,race,goal,date,go_out,career_c,int_corr,age_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,age,imprace,imprelig,income,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1
0,6805,0,2,1,4,6.0,4,2,4,2,16.0,-12.0,25.0,15.0,30.0,20.0,20.0,10.0,5.0,7.0,10.0,10.0,10.0,10.0,8.0,28.0,2.0,2.0,52952.034830827746,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
1,6806,0,2,1,4,6.0,4,2,4,2,16.0,3.0,26.0,25.0,20.0,20.0,20.0,5.0,10.0,6.0,7.0,8.0,6.0,8.0,8.0,28.0,2.0,2.0,82734.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
2,6807,0,2,0,2,6.0,4,2,4,2,16.0,37.0,26.0,25.0,25.0,25.0,13.0,12.0,0.0,6.0,6.584747160034277,7.0,5.0,5.0,6.0,28.0,2.0,2.0,72270.44175889622,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
3,6808,0,2,0,6,6.0,4,2,4,2,16.0,11.0,24.0,30.0,30.0,30.0,5.0,2.0,3.0,6.0,5.0,4.0,6.0,6.0,6.0,28.0,2.0,2.0,53014.0592743148,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
4,6809,0,2,0,2,6.0,4,2,4,2,16.0,39.0,23.0,23.0,14.0,19.0,16.0,10.0,18.0,6.0,8.0,8.0,6.0,7.0,6.0,28.0,2.0,2.0,72518.8502316686,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
5,6810,0,2,0,2,6.0,4,2,4,2,16.0,84.0,29.0,30.0,20.0,20.0,20.0,10.0,0.0,6.0,7.0,6.0,4.0,8.0,3.0,28.0,2.0,2.0,56206.9525058552,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
6,6811,0,2,1,4,6.0,4,2,4,2,16.0,67.0,22.0,20.0,5.0,25.0,25.0,5.0,20.0,7.0,8.0,9.0,8.0,8.0,8.0,28.0,2.0,2.0,79062.18502717496,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
7,6812,0,2,0,2,6.0,4,2,4,2,16.0,36.0,32.0,50.0,0.0,10.0,30.0,0.0,10.0,7.0,7.0,9.0,8.0,7.0,8.0,28.0,2.0,2.0,52148.44323780224,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
8,6813,0,2,0,2,6.0,4,2,4,2,16.0,58.0,22.0,30.0,10.0,20.0,15.0,15.0,10.0,1.0,6.0,5.0,5.0,4.0,3.0,28.0,2.0,2.0,82734.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
9,6814,0,2,0,2,6.0,4,2,4,2,16.0,1.0,24.0,20.0,15.0,20.0,20.0,15.0,10.0,6.0,7.0,6.0,5.0,3.0,3.0,28.0,2.0,2.0,79460.90105784137,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
10,6815,0,2,1,4,6.0,4,2,4,2,16.0,15.0,23.0,40.0,30.0,0.0,20.0,0.0,10.0,5.936550774374421,5.947597713999221,8.314323754472182,7.314323754472182,6.6461149376112925,5.33179118313911,28.0,2.0,2.0,42842.72740805719,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
11,6816,0,2,1,4,6.0,4,2,4,2,16.0,43.0,23.0,25.0,15.0,20.0,20.0,10.0,10.0,2.0,4.0,6.0,4.0,9.0,4.0,28.0,2.0,2.0,74132.70367110198,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
12,6817,0,2,1,4,6.0,4,2,4,2,16.0,4.0,24.0,20.0,16.0,16.0,17.0,16.0,15.0,5.330741980136034,7.334629009931985,6.795715427887895,5.230543208977956,5.825861094549692,3.8180870349577924,28.0,2.0,2.0,61649.573774995566,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
13,6818,0,2,1,4,6.0,4,2,4,2,16.0,-4.0,23.0,15.0,25.0,20.0,10.0,10.0,20.0,6.0,8.0,7.0,6.0,7.0,5.0,28.0,2.0,2.0,47290.148074921504,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
14,6819,0,2,0,2,6.0,4,2,4,2,16.0,3.0,24.0,20.0,20.0,20.0,20.0,10.0,10.0,4.0,8.0,7.0,5.0,8.0,2.0,28.0,2.0,2.0,70362.65245739871,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
15,6820,0,2,0,2,6.0,4,2,4,2,16.0,52.0,30.0,35.0,10.0,20.0,25.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,28.0,2.0,2.0,74870.76903357355,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
16,6821,0,2,0,2,6.0,4,2,4,2,16.0,58.0,30.0,25.0,20.0,20.0,20.0,0.0,15.0,5.0,6.0,7.0,5.0,7.0,4.0,28.0,2.0,2.0,84933.7525542143,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
17,6822,0,2,0,2,6.0,4,2,4,2,16.0,23.0,30.0,40.0,10.0,20.0,10.0,0.0,20.0,5.0,5.0,7.0,7.0,7.0,9.0,28.0,2.0,2.0,35575.18580334795,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
18,6823,0,2,0,2,6.0,4,2,4,2,16.0,43.0,28.0,20.0,20.0,20.0,20.0,0.0,20.0,1.0,6.0,6.0,4.0,6.0,4.0,28.0,2.0,2.0,41010.37899928554,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
19,6824,0,2,0,2,6.0,4,2,4,2,16.0,65.0,30.0,30.0,3.0,30.0,30.0,3.0,4.0,7.0,6.0,7.0,5.0,7.0,5.0,28.0,2.0,2.0,63803.95461193004,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
20,6825,0,2,0,1,6.0,4,2,4,2,16.0,62.0,27.0,40.0,20.0,20.0,20.0,0.0,0.0,5.0,7.0,8.0,7.0,8.0,7.0,28.0,2.0,2.0,74456.22861242574,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
21,6826,0,2,0,2,6.0,4,2,4,2,16.0,68.0,25.0,70.0,0.0,15.0,15.0,0.0,0.0,7.0,7.0,9.0,8.0,9.0,7.0,28.0,2.0,2.0,58321.174859031984,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0
22,6827,0,2,0,4,8.0,3,2,7,2,2.0,17.0,25.0,15.0,30.0,20.0,20.0,10.0,5.0,10.0,5.0,5.0,5.0,7.0,8.0,26.0,3.0,3.0,34190.76467819952,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0
23,6828,0,2,0,4,8.0,3,2,7,2,2.0,4.0,26.0,25.0,20.0,20.0,20.0,5.0,10.0,6.0,7.0,7.0,7.0,5.0,5.0,26.0,3.0,3.0,27480.344916669,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0
24,6829,0,2,0,2,8.0,3,2,7,2,2.0,69.0,26.0,25.0,25.0,25.0,13.0,12.0,0.0,9.0,9.0,10.0,9.0,9.0,7.0,26.0,3.0,3.0,38229.58079617318,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0
25,6830,0,2,0,6,8.0,3,2,7,2,2.0,5.0,24.0,30.0,30.0,30.0,5.0,2.0,3.0,8.0,9.0,8.0,9.0,8.0,9.0,26.0,3.0,3.0,47467.279050842175,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0
26,6831,0,2,0,2,8.0,3,2,7,2,2.0,24.0,23.0,23.0,14.0,19.0,16.0,10.0,18.0,8.0,7.0,7.0,8.0,6.0,6.0,26.0,3.0,3.0,51145.9074193714,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0
27,6832,0,2,0,2,8.0,3,2,7,2,2.0,36.0,29.0,30.0,20.0,20.0,20.0,10.0,0.0,10.0,8.0,9.0,9.0,9.0,9.0,26.0,3.0,3.0,45029.476299060916,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0
28,6833,0,2,0,4,8.0,3,2,7,2,2.0,-4.0,22.0,20.0,5.0,25.0,25.0,5.0,20.0,6.023813043196783,7.656130940664381,9.009850328204234,7.9782431501973745,7.31226188132876,5.988093478401608,26.0,3.0,3.0,35028.90503354318,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0
29,6834,0,2,0,2,8.0,3,2,7,2,2.0,57.0,32.0,50.0,0.0,10.0,30.0,0.0,10.0,8.0,5.0,5.0,8.0,6.0,5.0,26.0,3.0,3.0,54968.36879940192,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0
30,6835,0,2,0,2,8.0,3,2,7,2,2.0,13.0,22.0,30.0,10.0,20.0,15.0,15.0,10.0,8.0,6.0,6.0,5.0,4.0,7.0,26.0,3.0,3.0,69824.8578696252,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0
31,6836,0,2,0,2,8.0,3,2,7,2,2.0,36.0,24.0,20.0,15.0,20.0,20.0,15.0,10.0,8.0,10.0,8.0,9.0,8.0,7.0,26.0,3.0,3.0,52926.24326763321,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0
32,6837,0,2,0,4,8.0,3,2,7,2,2.0,-32.0,23.0,40.0,30.0,0.0,20.0,0.0,10.0,8.0,9.0,10.0,5.0,6.0,5.0,26.0,3.0,3.0,51403.29608477181,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0
