,iid_pid,gender,condtn,samerace,race_o,field_cd,race,goal,date,go_out,career_c,int_corr,age_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,age,imprace,imprelig,income,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,match
0,6804,1,2,0,2.0,1.0,4.0,2.0,6.0,5.0,1.0,48.0,29.0,20.0,10.0,50.0,5.0,10.0,5.0,3.0,10.0,10.0,3.0,10.0,0.0,27.0,4.0,3.0,34785.342539048004,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,30.0,30.0,30.0,5.0,0.0,5.0,0
1,6803,1,2,0,2.0,1.0,4.0,2.0,6.0,5.0,1.0,31.0,23.0,14.0,15.0,16.0,17.0,18.0,20.0,3.0,9.0,10.0,3.0,10.0,2.0,27.0,4.0,3.0,41457.08872932246,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,30.0,30.0,30.0,5.0,0.0,5.0,0
2,6802,1,2,0,2.0,1.0,4.0,2.0,6.0,5.0,1.0,4.0,23.0,15.0,15.0,18.0,18.0,14.0,20.0,6.0,8.0,10.0,6.0,9.0,5.0,27.0,4.0,3.0,41485.803224909105,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,30.0,30.0,30.0,5.0,0.0,5.0,0
3,6801,1,2,0,2.0,1.0,4.0,2.0,6.0,5.0,1.0,59.0,23.0,28.0,8.0,17.0,22.0,17.0,8.0,7.0,10.0,8.0,8.0,8.0,7.0,27.0,4.0,3.0,42230.16166970055,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,30.0,30.0,30.0,5.0,0.0,5.0,0
4,6800,1,2,0,1.0,1.0,4.0,2.0,6.0,5.0,1.0,-17.0,22.0,25.0,5.0,20.0,25.0,15.0,10.0,2.0,6.3122348132756025,6.594035162875875,5.626896259373743,4.969565536324673,3.6901918195469396,27.0,4.0,3.0,38657.470552866886,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,30.0,30.0,30.0,5.0,0.0,5.0,0
5,6799,1,2,0,2.0,1.0,4.0,2.0,6.0,5.0,1.0,-22.0,27.0,30.0,15.0,15.0,30.0,0.0,10.0,4.0,8.0,7.0,5.0,5.0,6.0,27.0,4.0,3.0,41891.318940585414,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,30.0,30.0,30.0,5.0,0.0,5.0,0
6,6798,1,2,0,6.0,1.0,4.0,2.0,6.0,5.0,1.0,32.0,30.0,20.0,20.0,20.0,20.0,10.0,10.0,2.0,7.0,7.0,2.0,7.0,1.0,27.0,4.0,3.0,42532.61167774881,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,30.0,30.0,30.0,5.0,0.0,5.0,0
7,6797,1,2,0,2.0,1.0,4.0,2.0,6.0,5.0,1.0,27.0,28.0,15.0,30.0,30.0,10.0,10.0,5.0,3.0,9.0,10.0,5.0,10.0,10.0,27.0,4.0,3.0,34852.96319996512,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,30.0,30.0,30.0,5.0,0.0,5.0,1
8,6796,1,2,1,4.0,1.0,4.0,2.0,6.0,5.0,1.0,19.0,27.0,15.0,15.0,25.0,15.0,15.0,15.0,3.0,8.0,7.0,4.0,4.0,1.0,27.0,4.0,3.0,35186.99999999999,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,30.0,30.0,30.0,5.0,0.0,5.0,0
9,6795,1,2,1,4.0,1.0,4.0,2.0,6.0,5.0,1.0,0.0,22.0,10.0,25.0,15.0,20.0,15.0,15.0,4.0,8.0,9.0,8.0,9.0,2.0,27.0,4.0,3.0,41506.78945736589,6.0,3.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,1.0,6.0,30.0,30.0,30.0,5.0,0.0,5.0,0
10,6794,1,2,0,2.0,8.0,4.0,1.0,5.0,3.0,7.0,43.0,29.0,20.0,10.0,50.0,5.0,10.0,5.0,4.0,10.0,10.0,7.0,10.0,1.1145135408016307,29.0,7.0,1.0,54857.006982523235,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0,0
11,6793,1,2,0,2.0,8.0,4.0,1.0,5.0,3.0,7.0,3.0,23.0,14.0,15.0,16.0,17.0,18.0,20.0,2.0,7.0,8.0,6.0,10.0,3.0,29.0,7.0,1.0,55301.83535465014,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0,0
12,6792,1,2,0,2.0,8.0,4.0,1.0,5.0,3.0,7.0,47.0,23.0,15.0,15.0,18.0,18.0,14.0,20.0,7.0,8.0,9.0,8.0,9.0,7.0,29.0,7.0,1.0,54166.16022427322,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0,0
13,6791,1,2,0,2.0,8.0,4.0,1.0,5.0,3.0,7.0,-4.0,23.0,28.0,8.0,17.0,22.0,17.0,8.0,7.0,10.0,10.0,10.0,8.0,7.0,29.0,7.0,1.0,48427.17557761753,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0,0
14,6790,1,2,0,1.0,8.0,4.0,1.0,5.0,3.0,7.0,12.0,22.0,25.0,5.0,20.0,25.0,15.0,10.0,1.0,4.0,5.0,4.0,5.0,1.0,29.0,7.0,1.0,51840.80575811972,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0,0
15,6789,1,2,0,2.0,8.0,4.0,1.0,5.0,3.0,7.0,-1.0,27.0,30.0,15.0,15.0,30.0,0.0,10.0,4.0,7.0,8.0,7.0,8.0,7.0,29.0,7.0,1.0,43144.1498502612,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0,0
16,6788,1,2,0,6.0,8.0,4.0,1.0,5.0,3.0,7.0,19.0,30.0,20.0,20.0,20.0,20.0,10.0,10.0,1.0,3.0,5.0,2.0,3.0,1.0,29.0,7.0,1.0,47517.369753766485,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0,0
