iid_pid,race,date,career_c,age_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,age,imprace,clubbing,concerts,music,match
6804,4.0,6.0,1.0,29.0,3.0,10.0,10.0,3.0,10.0,0.0,27.0,4.0,3.0,6.0,5.0,0
6803,4.0,6.0,1.0,23.0,3.0,9.0,10.0,3.0,10.0,2.0,27.0,4.0,3.0,6.0,5.0,0
6802,4.0,6.0,1.0,23.0,6.0,8.0,10.0,6.0,9.0,5.0,27.0,4.0,3.0,6.0,5.0,0
6801,4.0,6.0,1.0,23.0,7.0,10.0,8.0,8.0,8.0,7.0,27.0,4.0,3.0,6.0,5.0,0
6800,4.0,6.0,1.0,22.0,2.0,6.3122348132756025,6.594035162875875,5.626896259373743,4.969565536324673,3.69019181954694,27.0,4.0,3.0,6.0,5.0,0
6799,4.0,6.0,1.0,27.0,4.0,8.0,7.0,5.0,5.0,6.0,27.0,4.0,3.0,6.0,5.0,0
6798,4.0,6.0,1.0,30.0,2.0,7.0,7.0,2.0,7.0,1.0,27.0,4.0,3.0,6.0,5.0,0
6797,4.0,6.0,1.0,28.0,3.0,9.0,10.0,5.0,10.0,10.0,27.0,4.0,3.0,6.0,5.0,1
6796,4.0,6.0,1.0,27.0,3.0,8.0,7.0,4.0,4.0,1.0,27.0,4.0,3.0,6.0,5.0,0
6795,4.0,6.0,1.0,22.0,4.0,8.0,9.0,8.0,9.0,2.0,27.0,4.0,3.0,6.0,5.0,0
6794,4.0,5.0,7.0,29.0,4.0,10.0,10.0,7.0,10.0,1.114513540801631,29.0,7.0,9.0,8.0,10.0,0
6793,4.0,5.0,7.0,23.0,2.0,7.0,8.0,6.0,10.0,3.0,29.0,7.0,9.0,8.0,10.0,0
6792,4.0,5.0,7.0,23.0,7.0,8.0,9.0,8.0,9.0,7.0,29.0,7.0,9.0,8.0,10.0,0
6791,4.0,5.0,7.0,23.0,7.0,10.0,10.0,10.0,8.0,7.0,29.0,7.0,9.0,8.0,10.0,0
6790,4.0,5.0,7.0,22.0,1.0,4.0,5.0,4.0,5.0,1.0,29.0,7.0,9.0,8.0,10.0,0
6789,4.0,5.0,7.0,27.0,4.0,7.0,8.0,7.0,8.0,7.0,29.0,7.0,9.0,8.0,10.0,0
6788,4.0,5.0,7.0,30.0,1.0,3.0,5.0,2.0,3.0,1.0,29.0,7.0,9.0,8.0,10.0,0
6787,4.0,5.0,7.0,28.0,5.0,8.0,10.0,10.0,10.0,5.0,29.0,7.0,9.0,8.0,10.0,1
6786,4.0,5.0,7.0,27.0,7.0,7.0,8.0,8.0,8.0,3.0,29.0,7.0,9.0,8.0,10.0,0
6785,4.0,5.0,7.0,22.0,4.0,8.0,9.0,8.0,9.0,2.0,29.0,7.0,9.0,8.0,10.0,0
6784,4.0,3.0,7.0,29.0,0.0,10.0,10.0,3.0,10.0,5.0,30.0,3.0,3.0,7.0,8.0,0
6783,4.0,3.0,7.0,23.0,2.0,7.0,10.0,2.0,10.0,2.0,30.0,3.0,3.0,7.0,8.0,0
6782,4.0,3.0,7.0,23.0,6.0,8.0,10.0,7.0,10.0,8.0,30.0,3.0,3.0,7.0,8.0,0
6781,4.0,3.0,7.0,23.0,7.0,10.0,9.0,8.0,8.0,7.0,30.0,3.0,3.0,7.0,8.0,0
6780,4.0,3.0,7.0,22.0,1.0,8.0,8.0,4.0,7.0,5.780825072462629,30.0,3.0,3.0,7.0,8.0,0
6779,4.0,3.0,7.0,27.0,2.0,7.0,6.0,7.0,6.0,5.0,30.0,3.0,3.0,7.0,8.0,0
6778,4.0,3.0,7.0,30.0,1.0,5.0,5.0,2.0,5.0,1.0,30.0,3.0,3.0,7.0,8.0,0
6777,4.0,3.0,7.0,28.0,2.0,5.0,9.0,5.0,10.0,9.0,30.0,3.0,3.0,7.0,8.0,0
6776,4.0,3.0,7.0,27.0,5.0,8.0,7.0,5.0,7.0,2.0,30.0,3.0,3.0,7.0,8.0,0
6775,4.0,3.0,7.0,22.0,2.0,5.0,9.0,5.0,8.0,3.0,30.0,3.0,3.0,7.0,8.0,0
6774,2.0,6.0,9.0,29.0,5.0,9.0,10.0,5.0,9.0,5.0,25.0,3.0,3.0,9.0,10.0,0
6773,2.0,6.0,9.0,23.0,4.0,6.0,8.0,7.0,9.0,2.0,25.0,3.0,3.0,9.0,10.0,1
6772,2.0,6.0,9.0,23.0,7.0,7.0,9.0,7.0,10.0,7.0,25.0,3.0,3.0,9.0,10.0,0
6771,2.0,6.0,9.0,23.0,7.0,7.0,8.0,8.0,8.0,7.0,25.0,3.0,3.0,9.0,10.0,0
6770,2.0,6.0,9.0,22.0,7.0,9.0,10.0,9.0,9.0,6.0,25.0,3.0,3.0,9.0,10.0,0
6769,2.0,6.0,9.0,27.0,5.0,5.0,5.0,7.0,5.0,9.0,25.0,3.0,3.0,9.0,10.0,0
6768,2.0,6.0,9.0,30.0,4.0,5.0,6.0,4.0,4.0,1.0,25.0,3.0,3.0,9.0,10.0,0
6767,2.0,6.0,9.0,28.0,5.0,10.0,10.0,9.0,10.0,10.0,25.0,3.0,3.0,9.0,10.0,1
6766,2.0,6.0,9.0,27.0,7.0,8.0,8.0,8.0,6.0,3.0,25.0,3.0,3.0,9.0,10.0,0
6765,2.0,6.0,9.0,22.0,5.0,7.0,8.0,6.0,9.0,5.0,25.0,3.0,3.0,9.0,10.0,0
6764,6.0,3.0,1.0,29.0,8.0,9.0,9.0,4.0,9.0,1.4640751344422045,23.0,7.0,1.0,2.0,6.0,0
6763,6.0,3.0,1.0,23.0,7.0,7.0,8.0,8.0,7.0,4.0,23.0,7.0,1.0,2.0,6.0,0
6762,6.0,3.0,1.0,23.0,9.0,7.0,8.0,8.0,9.0,7.0,23.0,7.0,1.0,2.0,6.0,0
6761,6.0,3.0,1.0,23.0,10.0,10.0,10.0,10.0,10.0,10.0,23.0,7.0,1.0,2.0,6.0,1
6760,6.0,3.0,1.0,22.0,7.0,7.0,8.0,9.0,10.0,7.0,23.0,7.0,1.0,2.0,6.0,1
6759,6.0,3.0,1.0,27.0,8.0,8.0,8.0,8.0,8.0,7.0,23.0,7.0,1.0,2.0,6.0,0
6758,6.0,3.0,1.0,30.0,7.0,7.0,7.0,7.0,4.0,3.0,23.0,7.0,1.0,2.0,6.0,0
6757,6.0,3.0,1.0,28.0,8.0,8.0,9.0,9.0,10.0,10.0,23.0,7.0,1.0,2.0,6.0,0
6756,6.0,3.0,1.0,27.0,8.0,5.0,7.0,6.0,8.0,2.0,23.0,7.0,1.0,2.0,6.0,0
6755,6.0,3.0,1.0,22.0,5.0,6.0,9.0,8.0,8.0,5.0,23.0,7.0,1.0,2.0,6.0,0
6754,2.0,2.0,7.0,29.0,9.0,3.0,10.0,9.0,10.0,6.00632640880322,22.0,1.0,9.0,6.0,10.0,1
6753,2.0,2.0,7.0,23.0,8.0,2.0,4.0,5.0,10.0,2.0,22.0,1.0,9.0,6.0,10.0,0
6752,2.0,2.0,7.0,23.0,7.0,6.0,9.0,10.0,9.0,9.0,22.0,1.0,9.0,6.0,10.0,1
6751,2.0,2.0,7.0,23.0,10.0,10.0,10.0,10.0,10.0,10.0,22.0,1.0,9.0,6.0,10.0,1
6750,2.0,2.0,7.0,22.0,9.0,9.0,10.0,10.0,9.0,6.698688348175549,22.0,1.0,9.0,6.0,10.0,1
6749,2.0,2.0,7.0,27.0,7.0,6.0,6.0,5.0,7.0,7.0,22.0,1.0,9.0,6.0,10.0,0
6748,2.0,2.0,7.0,30.0,6.0,5.0,5.0,5.0,8.0,5.0,22.0,1.0,9.0,6.0,10.0,0
6747,2.0,2.0,7.0,28.0,8.0,6.0,8.0,7.0,9.0,5.0,22.0,1.0,9.0,6.0,10.0,0
6746,2.0,2.0,7.0,27.0,9.0,8.0,9.0,9.0,5.0,2.0,22.0,1.0,9.0,6.0,10.0,1
6745,2.0,2.0,7.0,22.0,6.0,8.0,8.0,9.0,9.0,4.0,22.0,1.0,9.0,6.0,10.0,0
6744,4.0,7.0,7.0,29.0,7.0,7.0,9.0,3.0,9.0,0.0,26.0,1.0,5.0,4.0,9.0,0
6743,4.0,7.0,7.0,23.0,6.0,3.0,4.0,2.0,9.0,4.0,26.0,1.0,5.0,4.0,9.0,0
6742,4.0,7.0,7.0,23.0,8.0,8.0,10.0,7.0,10.0,7.0,26.0,1.0,5.0,4.0,9.0,0
6741,4.0,7.0,7.0,23.0,7.0,10.0,9.0,9.0,9.0,8.0,26.0,1.0,5.0,4.0,9.0,0
6740,4.0,7.0,7.0,22.0,6.0,10.0,9.0,8.0,8.0,4.0,26.0,1.0,5.0,4.0,9.0,0
6739,4.0,7.0,7.0,27.0,10.0,10.0,10.0,10.0,10.0,9.0,26.0,1.0,5.0,4.0,9.0,1
6738,4.0,7.0,7.0,30.0,7.0,7.0,7.0,5.0,5.0,3.0,26.0,1.0,5.0,4.0,9.0,0
6737,4.0,7.0,7.0,28.0,7.0,9.0,10.0,10.0,10.0,8.0,26.0,1.0,5.0,4.0,9.0,0
6736,4.0,7.0,7.0,27.0,8.0,9.0,8.0,7.0,8.0,2.0,26.0,1.0,5.0,4.0,9.0,0
6735,4.0,7.0,7.0,22.0,5.0,8.0,8.0,8.0,6.0,3.0,26.0,1.0,5.0,4.0,9.0,0
6734,3.0,4.0,7.0,29.0,7.0,7.0,9.0,5.0,9.0,6.272907157081482,28.0,2.0,6.0,5.0,8.0,1
6733,3.0,4.0,7.0,23.0,6.0,4.0,7.0,3.0,7.0,6.0,28.0,2.0,6.0,5.0,8.0,1
6732,3.0,4.0,7.0,23.0,6.0,8.0,9.0,9.0,10.0,8.0,28.0,2.0,6.0,5.0,8.0,0
6731,3.0,4.0,7.0,23.0,7.0,10.0,9.0,9.0,7.0,8.0,28.0,2.0,6.0,5.0,8.0,0
6730,3.0,4.0,7.0,22.0,4.0,4.0,4.0,4.0,4.0,4.0,28.0,2.0,6.0,5.0,8.0,0
6729,3.0,4.0,7.0,27.0,7.0,5.0,5.0,3.0,3.0,5.0,28.0,2.0,6.0,5.0,8.0,0
6728,3.0,4.0,7.0,30.0,9.0,8.0,8.0,5.0,7.0,5.0,28.0,2.0,6.0,5.0,8.0,1
6727,3.0,4.0,7.0,28.0,3.0,9.0,9.0,6.0,9.0,7.0,28.0,2.0,6.0,5.0,8.0,1
